city,state,golden_count
Philadelphia,PA,4549
Tucson,AZ,3153
Tampa,FL,3125
Indianapolis,IN,2541
New Orleans,LA,2366
Nashville,TN,2307
Reno,NV,2078
Saint Louis,MO,1637
Edmonton,AB,1626
Santa Barbara,CA,1546
Boise,"ID",1201
Clearwater,FL,844
Saint Petersburg,FL,723
Sparks,NV,580
Metairie,LA,534
St. Louis,MO,521
St. Petersburg,FL,503
Franklin,TN,462
Wilmington,DE,445
Carmel,IN,406
