Cuisine Type,Restaurant Count
American,13066
Mexican,4049
Italian,3997
Chinese,2719
Japanese,1765
Mediterranean,920
Indian,754
Thai,687
Vietnamese,592
Korean,291
French,276
Greek,242
Middle Eastern,188
Hawaiian,120
Spanish,114
African,84
