Business Name,City,State,Checkins Before Spike,Checkins After Spike,% Change in Checkins,Impact Category
The Old Coffee Pot Restaurant,New Orleans,LA,18,13,27.78,Drop in Checkins
Kayne Prime,Nashville,TN,11,8,27.27,Drop in Checkins
Emeril's ,New Orleans,LA,22,16,27.27,Drop in Checkins
biscuit & buns on banks,New Orleans,LA,15,11,26.67,Drop in Checkins
Acme Feed & Seed,Nashville,TN,46,34,26.09,Drop in Checkins
Peppermill Reno,Reno,NV,46,34,26.09,Drop in Checkins
Felix's Restaurant & Oyster Bar,New Orleans,LA,97,73,24.74,Drop in Checkins
Summerland Beach Cafe,Summerland,CA,25,19,24.0,Drop in Checkins
The Train Shed,St Louis,MO,30,23,23.33,Drop in Checkins
Verti Marte,New Orleans,LA,26,20,23.08,Drop in Checkins
Justine,New Orleans,LA,13,10,23.08,Drop in Checkins
Dat Dog,New Orleans,LA,32,25,21.88,Drop in Checkins
PYT,Philadelphia,PA,47,37,21.28,Drop in Checkins
Caddy's Treasure Island,Treasure Island,FL,33,26,21.21,Drop in Checkins
Dim Sum Garden,Philadelphia,PA,53,42,20.75,Drop in Checkins
"The Stillery, Midtown",Nashville,TN,15,12,20.0,Drop in Checkins
Hendricks BBQ,St Charles,MO,21,17,19.05,Drop in Checkins
Sa Ri One Korean BBQ,Brandon,FL,16,13,18.75,Drop in Checkins
Royal House,New Orleans,LA,508,413,18.7,Drop in Checkins
Ulele,Tampa,FL,43,35,18.6,Drop in Checkins
Columbia Restaurant,Tampa,FL,55,45,18.18,Drop in Checkins
Comcast,Philadelphia,PA,11,9,18.18,Drop in Checkins
Omni Nashville Hotel,Nashville,TN,11,9,18.18,Drop in Checkins
Fat Hen Grocery,New Orleans,LA,11,9,18.18,Drop in Checkins
Frenchy's Rockaway Grill,Clearwater Beach,FL,22,18,18.18,Drop in Checkins
Carlitos Cafe Y Cantina,Santa Barbara,CA,23,19,17.39,Drop in Checkins
The Praline Connection,New Orleans,LA,12,10,16.67,Drop in Checkins
World Of Beer,Tucson,AZ,51,43,15.69,Drop in Checkins
Caddy's Indian Shores,Indian Shores,FL,13,11,15.38,Drop in Checkins
Ella's Americana Folk Art Cafe,Tampa,FL,26,22,15.38,Drop in Checkins
Atlantis Casino Resort Spa,Reno,NV,34,29,14.71,Drop in Checkins
Sushi Garden,Tucson,AZ,42,36,14.29,Drop in Checkins
Cheddar's Scratch Kitchen,Lutz,FL,30,26,13.33,Drop in Checkins
Roxy,Reno,NV,23,20,13.04,Drop in Checkins
Reef Sushi & Sake,Reno,NV,23,20,13.04,Drop in Checkins
Ruby Slipper Cafe,New Orleans,LA,67,59,11.94,Drop in Checkins
Party Fowl - The Gulch,Nashville,TN,35,31,11.43,Drop in Checkins
Good Dog Bar,Philadelphia,PA,30,27,10.0,Drop in Checkins
The Pancake Pantry,Nashville,TN,41,37,9.76,Drop in Checkins
The Franklin Fountain,Philadelphia,PA,55,50,9.09,Drop in Checkins
Luke,New Orleans,LA,108,100,7.41,Drop in Checkins
Gen X Tavern,Tampa,FL,28,26,7.14,Drop in Checkins
